2020-10-23,IPOE,Social Capital Hedosophia Holdings Corp. V,25.14,+4.86,+23.96%,36435000,7524000,2530000000
2020-10-23,DVN,Devon Energy Corporation,16.46,-0.74,-4.30%,10817000,12599000,11079000000
2020-10-23,PYPL,"PayPal Holdings, Inc.",234.31,-3.48,-1.46%,9806000,9039000,274539000000
2020-10-23,GSX,GSX Techedu Inc.,105.01,+0.25,+0.24%,9635000,5676000,25060000000
2020-10-23,JD,"JD.com, Inc.",88.69,-2.72,-2.98%,10480000,12929000,138725000000
2020-10-23,MO,"Altria Group, Inc.",41.08,-1.57,-3.68%,11869000,9515000,76344000000
2020-10-23,KIM,Kimco Realty Corporation,16.51,-0.99,-5.66%,12814000,5134000,7141000000
2020-10-23,SQ,"Square, Inc.",215.96,-3.95,-1.80%,9384000,10011000,97384000000
2020-10-23,ABBV,AbbVie Inc.,102.48,-1.73,-1.66%,9376000,8246000,180860000000
2020-10-23,SYF,Synchrony Financial,33.65,-2.24,-6.24%,9288000,5233000,19645000000
2020-10-23,WMB,"The Williams Companies, Inc.",21.23,-0.23,-1.07%,9254000,9671000,25765000000
2020-10-23,BILI,Bilibili Inc.,113.89,-5.11,-4.29%,9741000,6241000,39341000000
2020-10-23,SWKS,"Skyworks Solutions, Inc.",169.25,+9.46,+5.92%,9055000,2244000,27909000000
2020-10-23,TME,Tencent Music Entertainment Group,26.6,-0.24,-0.89%,9115000,11306000,44622000000
2020-10-23,JBLU,JetBlue Airways Corporation,14.34,-0.31,-2.12%,9490000,9716000,4509000000
2020-10-23,DOW,Dow Inc.,51.9,-2.48,-4.56%,7831000,4163999.9999999995,38572000000
2020-10-23,AGNC,AGNC Investment Corp.,15.6,-0.22,-1.39%,8854000,6787000,8416000000
2020-10-23,LUV,Southwest Airlines Co.,43.94,-0.66,-1.48%,8861000,8435000,25945000000
2020-10-23,OPK,"OPKO Health, Inc.",5.41,+0.03,+0.56%,8737000,8733000,3625000000
2020-10-23,GFI,Gold Fields Limited,9.33,-0.54,-5.47%,8708000,6472000,8597000000
2020-10-23,FLEX,Flex Ltd.,17.64,-0.83,-4.49%,9240000,4942000,8840000000
2020-10-23,INFY,Infosys Limited,16.88,-0.76,-4.31%,8705000,8260999.999999999,72083000000
2020-10-23,AM,Antero Midstream Corporation,8.1,-0.13,-1.58%,8514000,5026000,3861000000
2020-10-23,NEE,"NextEra Energy, Inc.",80.87,-1.59,-1.93%,8597000,7877000,158430000000
2020-10-23,PG,The Procter & Gamble Company,128.21,-2.15,-1.65%,8343999.999999999,7088000,315715000000
2020-10-23,VTRS,Viatris Inc.,16.99,-0.20,-1.16%,8256000,14541000,20425000000
2020-10-23,SBUX,Starbucks Corporation,96.81,-1.34,-1.37%,8202999.999999999,6438000,113974000000
2020-10-23,BTG,B2Gold Corp.,4.95,-0.0100,-0.20%,8182000,7278000,5174000000
2020-10-23,SABR,Sabre Corporation,10.78,-0.52,-4.60%,8418000,9165000,3420000000
2020-10-23,HST,"Host Hotels & Resorts, Inc.",13.55,-0.70,-4.91%,8068000,9618000,9557000000
2020-10-23,BLNK,Blink Charging Co.,49.43,-3.72,-7.00%,8058000,14264000,2057000000
2020-10-23,HRL,Hormel Foods Corporation,46.86,-1.10,-2.29%,8026000,2363000,25301000000
2020-10-23,IPOF,Social Capital Hedosophia Holdings Corp. VI,14.48,+0.42,+2.99%,8010999.999999999,4736000,2081000000
2020-10-23,LKNCY,Luckin Coffee Inc.,10.87,-1.81,-14.27%,7989000,4420000,2752000000
2020-10-23,WORK,"Slack Technologies, Inc.",42.17,-0.07,-0.17%,7960000,20347000,24305000000
2020-10-23,QS,QuantumScape Corporation,43.75,-1.81,-3.97%,7967000,15684000,15923000000
2020-10-23,ON,ON Semiconductor Corporation,34.49,-0.76,-2.16%,7948000,7298000,14183000000
2020-10-23,AMAT,"Applied Materials, Inc.",96.68,-4.47,-4.42%,7943000,7417000,88719000000
2020-10-23,MRVL,Marvell Technology Group Ltd.,51.46,-0.72,-1.38%,7819000,9265000,34571000000
2020-10-23,WY,Weyerhaeuser Company,31.19,-1.83,-5.54%,7555000,4261000,23281000000
2020-10-23,HBI,Hanesbrands Inc.,15.29,-0.11,-0.71%,7533000,5878000,5326000000
2020-10-23,IRTC,"iRhythm Technologies, Inc.",168.42,-82.58,-32.90%,7506000,540417,4863000000
2020-10-23,FUTU,Futu Holdings Limited,99.41,+0.41,+0.41%,7572000,4630000,14394000000
2020-10-23,EPD,Enterprise Products Partners L.P.,20.23,-0.29,-1.41%,7551000,8756000,44160000000
2020-10-23,XL,XL Fleet Corp.,18.98,-0.11,-0.58%,7423000,8639000,2493000000
2020-10-23,CL,Colgate-Palmolive Company,78,-1.15,-1.45%,6580000,4105000.0000000005,66858999999.99999
2020-10-23,BK,The Bank of New York Mellon Corporation,39.83,-0.55,-1.36%,7165000,5510000,35320000000
2020-10-23,MRK,"Merck & Co., Inc.",77.07,-0.85,-1.09%,7648000,9155000,194989000000
2020-10-23,USB,U.S. Bancorp,42.85,-0.92,-2.10%,7340000,7410000,64580000000
2020-10-23,QRTEA,"Qurate Retail, Inc.",12.6,-0.15,-1.18%,8089000,4724000,5256000000
2020-10-23,HPE,Hewlett Packard Enterprise Company,12.34,-0.22,-1.75%,7344000,10678000,15962000000
2020-10-23,CDE,"Coeur Mining, Inc.",9.05,+0.07,+0.78%,7268000,5199000,2206000000
2020-10-23,AES,The AES Corporation,24.39,-0.16,-0.65%,7232000,6207000,16222999999.999998
2020-10-23,HMY,Harmony Gold Mining Company Limited,4.45,-0.0800,-1.77%,7207000,5538000,2725000000
2020-10-23,MGM,MGM Resorts International,28.56,-1.00,-3.38%,7836000,9623000,14107000000
2020-10-23,NKE,"NIKE, Inc.",133.59,-1.13,-0.84%,7166000,5605000,210603000000
2020-10-23,FSR,Fisker Inc.,15.03,-0.43,-2.78%,7148000,13524000,4167000000
2020-10-23,LLY,Eli Lilly and Company,207.97,-2.15,-1.02%,8402000,4685000,198940000000
2020-10-23,GIS,"General Mills, Inc.",58.1,-1.26,-2.12%,7119000,4059999.9999999995,35524000000
2020-10-23,QCOM,QUALCOMM Incorporated,156.28,+0.73,+0.47%,8240000,8285000,177495000000
2020-10-23,BKR,Baker Hughes Company,20.09,-0.51,-2.48%,6627000,7129000,20798000000
2020-10-23,FE,FirstEnergy Corp.,30.76,-0.10,-0.32%,5464000,6279000,16690000000.000002
2020-10-23,ATVI,"Activision Blizzard, Inc.",91,+0.73,+0.81%,7025000,6739000,70330000000
2020-10-23,LYG,Lloyds Banking Group plc,1.78,-0.0400,-2.20%,7125000,6758000,32085000000
2020-10-23,RRC,Range Resources Corporation,9.21,-0.13,-1.39%,7003000,6469000,2361000000
2020-10-23,IRM,Iron Mountain Incorporated,33.67,+0.26,+0.78%,8144000,4284000,9703000000
2020-10-23,TFC,Truist Financial Corporation,47.98,-1.17,-2.38%,6970000,5655000,64723000000
2020-10-23,DDD,3D Systems Corporation,35.54,-2.45,-6.45%,6891000,12085000,4412000000
2020-10-23,SLM,SLM Corporation,13.88,-0.05,-0.36%,8084000,4272000,5209000000
2020-10-23,ATUS,"Altice USA, Inc.",35.57,-0.91,-2.49%,6845000,6769000,20031000000
2020-10-23,COG,Cabot Oil & Gas Corporation,18.33,-0.05,-0.27%,6773000,5940000,7306000000
2020-10-23,CARR,Carrier Global Corporation,38.5,+0.30,+0.79%,15003000,5652000,33366999999.999996
2020-10-23,MA,Mastercard Incorporated,316.29,-7.99,-2.46%,6800000,4091000,314536000000
2020-10-23,PEP,"PepsiCo, Inc.",136.57,-2.62,-1.88%,6778000,4070000.0000000005,188734000000
2020-10-23,CNK,"Cinemark Holdings, Inc.",20.24,-1.03,-4.84%,6677000,10096000,2392000000
2020-10-23,SAN,"Banco Santander, S.A.",2.93,-0.0800,-2.66%,6672000,9471000,50672000000
2020-10-23,NEM,Newmont Corporation,59.6,-0.13,-0.22%,6670000,6274000,47880000000
2020-10-23,BNTX,BioNTech SE,116.94,+6.94,+6.31%,6623000,4147000.0000000005,28158000000
2020-10-23,GPS,"The Gap, Inc.",20.25,-0.37,-1.79%,6542000,8810000,7574000000
2020-10-23,ED,"Consolidated Edison, Inc.",70.78,+0.57,+0.81%,6228000,2751000,23705000000
2020-10-23,JWN,"Nordstrom, Inc.",35.45,-0.95,-2.61%,6516000,8907000,5590000000
2020-10-23,IQ,"iQIYI, Inc.",21.85,-0.08,-0.36%,6913000,11231000,17119000000
2020-10-23,CFG,"Citizens Financial Group, Inc.",36.44,-0.77,-2.07%,6383000,3903000,15568000000
2020-10-23,CRM,"salesforce.com, inc.",225.56,-0.94,-0.42%,5850000,9529000,207004000000
2020-10-23,CVS,CVS Health Corporation,71.65,-0.96,-1.32%,6038000,8419000,93783000000
2020-10-23,LB,"L Brands, Inc.",40.76,-0.67,-1.62%,6444000,4458000,11336000000
2020-10-23,PAAS,Pan American Silver Corp.,32.46,+1.18,+3.77%,6536000,2760000,6776000000
2020-10-23,IPG,"The Interpublic Group of Companies, Inc.",24.07,-0.55,-2.23%,6394000,3772000,9388000000
2020-10-23,BRK-B,Berkshire Hathaway Inc.,227.87,-3.08,-1.33%,5919000,5448000,535784000000
2020-10-23,KEY,KeyCorp,16.86,-0.46,-2.66%,9280000,8866000,16452000000.000002
2020-10-23,MT,ArcelorMittal,21.59,-0.87,-3.87%,6354000,4152999.9999999995,23123000000
2020-10-23,FTI,TechnipFMC plc,10.69,-0.26,-2.37%,6331000,7260000,4894000000
2020-10-23,FHN,First Horizon Corporation,13.89,-0.32,-2.25%,4821000,5421000,7706000000
2020-10-23,RIDE,Lordstown Motors Corp.,25.18,-0.14,-0.55%,6243000,9302000,4152999999.9999995
2020-10-23,PRSP,Perspecta Inc.,28.95,+0.04,+0.14%,6232000,1352000,4663000000
2020-10-23,RMO,"Romeo Power, Inc.",17.77,-0.43,-2.36%,6206000,6782000,2253000000
2020-10-23,MPC,Marathon Petroleum Corporation,43.16,-1.61,-3.60%,6181000,6983000,28082000000
2020-10-23,AA,Alcoa Corporation,18,-0.50,-2.70%,6705000,5703000,3348000000
2020-10-23,EQT,EQT Corporation,16.31,-0.13,-0.79%,6009000,5963000,4495000000
2020-10-23,NVDA,NVIDIA Corporation,519.59,-2.45,-0.47%,6559000,7777000,321626000000
2020-10-23,BCS,Barclays PLC,7.28,-0.26,-3.45%,6054000,4411000,31812000000
2020-10-23,BIDU,"Baidu, Inc.",235.02,-9.85,-4.02%,6839000,8013000,80160000000
2020-10-23,CCJ,Cameco Corporation,12.42,-0.37,-2.89%,3671000,4083999.9999999995,4908000000
2020-10-23,TIGR,UP Fintech Holding Limited,15.78,-0.70,-4.25%,6006000,4427000,2225000000
2020-10-23,JCI,Johnson Controls International plc,49.82,+0.48,+0.97%,6002000,5143000,35789000000
2020-10-23,NTAP,"NetApp, Inc.",66.44,-0.96,-1.42%,5980000,2140000,14842000000
2020-10-23,AEO,"American Eagle Outfitters, Inc.",22.69,-0.31,-1.35%,5657000,5612000,3771000000
2020-10-23,TXN,Texas Instruments Incorporated,165.69,-2.52,-1.50%,5970000,4223000,152328000000
2020-10-23,BAM,Brookfield Asset Management Inc.,38.84,-0.91,-2.29%,4624000,2864000,58293000000
2020-10-23,NLOK,NortonLifeLock Inc.,21.07,-0.23,-1.08%,5936000,6482000,12471000000
2020-10-23,LU,Lufax Holding Ltd,15.94,+0.99,+6.62%,5930000,7977000,40669000000
2020-10-23,VIPS,Vipshop Holdings Limited,27.42,-0.27,-0.98%,5891000,7323000,18572000000
2020-10-23,PPL,PPL Corporation,27.67,-0.46,-1.64%,5881000,4806000,21273000000
2020-10-23,ETRN,Equitrans Midstream Corporation,6.65,-0.04,-0.60%,5863000,5533000,2876000000
2020-10-23,HWM,Howmet Aerospace Inc.,24.58,-0.18,-0.73%,5861000,4035000,10658000000
2020-10-23,PBR-A,Petróleo Brasileiro S.A. - Petrobras,9.78,-0.49,-4.77%,5859000,6998000,65777000000
2020-10-23,CLNE,Clean Energy Fuels Corp.,10.23,-0.21,-2.01%,5856000,7565000,2028000000
2020-10-23,GGB,Gerdau S.A.,4.24,-0.2300,-5.15%,5832000,5359000,6904000000
2020-10-23,EOG,"EOG Resources, Inc.",50.96,-2.76,-5.14%,6486000,5562000,29729000000
2020-10-23,LAC,Lithium Americas Corp.,19.71,-0.10,-0.50%,5846000,6413000,2353000000
2020-10-23,DHR,Danaher Corporation,237.84,+9.27,+4.06%,5231000,2655000,169104000000
2020-10-23,DCT,"Duck Creek Technologies, Inc.",48.34,+1.39,+2.96%,5737000,631164,6329000000
2020-10-23,PSX,Phillips 66,67.8,-3.65,-5.11%,5733000,3689000,29615000000
2020-10-23,K,Kellogg Company,58.94,-1.23,-2.04%,5715000,2546000,20258000000
2020-10-23,DBX,"Dropbox, Inc.",22.63,-0.45,-1.97%,5711000,7493000,9360000000
2020-10-23,UNM,Unum Group,23.23,-1.08,-4.44%,5699000,2528000,4731000000
2020-10-23,MDT,Medtronic plc,111.33,-3.44,-3.00%,7315000,4400000,149852000000
2020-10-23,LYFT,"Lyft, Inc.",44.46,-1.76,-3.81%,5631000,9646000,14117000000
2020-10-23,SKLZ,Skillz Inc.,27.62,+1.00,+3.76%,5611000,4711000,10214000000
2020-10-23,OPEN,Opendoor Technologies Inc.,26.12,+1.10,+4.40%,5604000,4423000,14220000000
2020-10-23,VOD,Vodafone Group Plc,17.15,-0.36,-2.06%,5599000,3740000,45971000000
2020-10-23,WU,The Western Union Company,22.27,-0.66,-2.88%,5581000,4701000,9156000000
2020-10-23,GLW,Corning Incorporated,35.87,-0.57,-1.56%,5566000,3977000,27441000000
2020-10-23,FISV,"Fiserv, Inc.",102.69,-2.56,-2.43%,5524000,4369000,68661000000
2020-10-23,FTCH,Farfetch Limited,61.24,+0.52,+0.86%,5558000,5960000,20814000000
2020-10-23,EQH,"Equitable Holdings, Inc.",24.78,-0.71,-2.79%,5417000,3113000,11019000000
2020-10-23,NOV,NOV Inc.,12.38,-0.24,-1.90%,5503000,6004000,4807000000
2020-10-23,CRON,Cronos Group Inc.,10.35,-0.13,-1.24%,5437000,6560000,3664000000
2020-10-23,RCL,Royal Caribbean Group,65,-4.05,-5.87%,5373000,5364000,15430000000
2020-10-23,SAVE,"Spirit Airlines, Inc.",25.94,-0.77,-2.88%,5341000,7211000,2534000000
2020-10-23,BLDP,Ballard Power Systems Inc.,34.17,+0.17,+0.50%,5248000,6294000,9607000000
2020-10-23,AFL,Aflac Incorporated,45.18,-0.94,-2.04%,4993000,4009000.0000000005,31736000000
2020-10-23,DHI,"D.R. Horton, Inc.",76.8,0.00,0.00%,5071000,3277000,27932000000
2020-10-23,MET,"MetLife, Inc.",48.15,-1.42,-2.86%,6852000,5815000,43333000000
2020-10-23,NI,NiSource Inc.,22.15,-0.02,-0.09%,5159000,3068000,8488000000
2020-10-23,UMPQ,Umpqua Holdings Corporation,14.51,-0.67,-4.41%,5148000,1505000,3195000000
2020-10-23,GOEV,Canoo Inc.,15.07,-0.40,-2.59%,5121000,4676000,3551000000
2020-10-23,GSK,GlaxoSmithKline plc,37.25,-0.78,-2.05%,5114000,4821000,93669000000
2020-10-23,PAA,"Plains All American Pipeline, L.P.",8.37,-0.21,-2.45%,5076000,6289000,6097000000
2020-10-23,AXP,American Express Company,116.26,-2.71,-2.28%,4572000,4340000,93613000000
2020-10-23,NRZ,New Residential Investment Corp.,9.39,-0.37,-3.79%,5005000,4335000,3904000000
